timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote
2024-04-04 04:00:00+00:00,65620.0,66290.32,65064.52,66091.6,4739.31707,2024-04-04 07:59:59.999000+00:00,311315439.074446,252723,2128.34858,139850273.3173101
2024-04-04 08:00:00+00:00,66091.59,66468.99,66028.0,66353.67,3428.64196,2024-04-04 11:59:59.999000+00:00,227317837.1316852,269435,1854.9962,123004050.6834222
2024-04-04 12:00:00+00:00,66353.68,67927.69,66330.56,67647.99,10795.2997,2024-04-04 15:59:59.999000+00:00,726380841.3343897,435055,5754.58938,386953521.8243634
2024-04-04 16:00:00+00:00,67648.0,69309.91,67526.5,68500.0,11282.70659,2024-04-04 19:59:59.999000+00:00,773199848.7906204,482942,5787.56778,396672470.2324491
2024-04-04 20:00:00+00:00,68500.0,68565.54,67320.0,68487.79,7494.3847,2024-04-04 23:59:59.999000+00:00,508866728.891608,314310,3789.17484,257296453.1119501
2024-04-05 00:00:00+00:00,68487.8,68756.67,67435.67,67863.99,5774.35522,2024-04-05 03:59:59.999000+00:00,392672294.8567074,299207,2741.43278,186470001.6627032
2024-04-05 04:00:00+00:00,67864.0,68028.0,66380.0,66930.74,5658.20928,2024-04-05 07:59:59.999000+00:00,379482601.4131735,301144,2835.89566,190180376.5931715
2024-04-05 08:00:00+00:00,66930.75,67684.26,66383.01,66478.0,5920.7343,2024-04-05 11:59:59.999000+00:00,396158331.0781891,354996,2952.97245,197652081.4732874
2024-04-05 12:00:00+00:00,66478.0,68566.66,65952.56,68190.62,11781.15101,2024-04-05 15:59:59.999000+00:00,792321168.5599852,492235,6218.04862,418369891.4323704
2024-04-05 16:00:00+00:00,68190.62,68380.0,67316.0,67412.4,6064.18449,2024-04-05 19:59:59.999000+00:00,410988211.0527882,278523,2824.76955,191428377.7852634
2024-04-05 20:00:00+00:00,67412.41,67966.67,67342.0,67820.62,2716.59643,2024-04-05 23:59:59.999000+00:00,183836328.2751655,175875,1316.86547,89119493.8157928
2024-04-06 00:00:00+00:00,67820.63,68065.2,67447.83,67788.01,3176.77641,2024-04-06 03:59:59.999000+00:00,215217137.5746757,172046,1229.10771,83286480.4035005
2024-04-06 04:00:00+00:00,67788.0,68232.14,67602.0,67992.02,3070.43208,2024-04-06 07:59:59.999000+00:00,208708135.1307631,197628,1449.68172,98553990.4403537
2024-04-06 08:00:00+00:00,67992.02,68120.0,67615.22,67668.16,2642.86157,2024-04-06 11:59:59.999000+00:00,179355544.0052403,144881,1305.66874,88604546.2826018
2024-04-06 12:00:00+00:00,67668.16,68299.0,67527.78,68104.0,3568.26804,2024-04-06 15:59:59.999000+00:00,242261809.1832845,229802,1735.60054,117862204.684105
2024-04-06 16:00:00+00:00,68104.01,68484.09,67948.83,68259.98,2363.11858,2024-04-06 19:59:59.999000+00:00,161226876.534161,155337,1228.16209,83810431.4339253
2024-04-06 20:00:00+00:00,68259.99,69692.0,68166.66,68896.0,5312.83251,2024-04-06 23:59:59.999000+00:00,366362465.336694,271766,3025.64332,208683202.9651642
2024-04-07 00:00:00+00:00,68896.0,69777.0,68824.0,69408.05,4070.3115,2024-04-07 03:59:59.999000+00:00,282385375.4497884,213460,2121.18903,147173927.2930107
2024-04-07 04:00:00+00:00,69408.04,69493.98,69053.97,69364.01,2506.83696,2024-04-07 07:59:59.999000+00:00,173728700.5799513,175081,1284.75338,89040541.3814479
2024-04-07 08:00:00+00:00,69364.0,69555.0,69199.01,69357.0,2408.97704,2024-04-07 11:59:59.999000+00:00,167157919.0920937,148277,1093.10887,75848975.4857457
2024-04-07 12:00:00+00:00,69357.0,69886.03,69210.0,69543.74,3508.85654,2024-04-07 15:59:59.999000+00:00,243836467.1468383,218568,1931.70463,134251625.3887528
2024-04-07 16:00:00+00:00,69543.73,70326.29,68849.77,69068.01,6365.63132,2024-04-07 19:59:59.999000+00:00,443878390.1765271,322252,3385.5783,236214097.9780993
2024-04-07 20:00:00+00:00,69068.01,69477.18,68901.0,69360.39,2674.13097,2024-04-07 23:59:59.999000+00:00,185226520.7403788,191410,1333.56977,92377607.0012248
2024-04-08 00:00:00+00:00,69360.38,69841.03,69043.24,69458.95,2783.56347,2024-04-08 03:59:59.999000+00:00,193134623.2971955,200688,1307.08766,90711943.3219526
2024-04-08 04:00:00+00:00,69458.95,70850.0,69280.0,70698.63,5743.89017,2024-04-08 07:59:59.999000+00:00,403337854.5336994,279554,3193.74706,224310272.0216942
2024-04-08 08:00:00+00:00,70698.64,72650.0,70642.0,72404.0,17583.55254,2024-04-08 11:59:59.999000+00:00,1264448435.844285,663708,10400.42995,747849744.9432322
2024-04-08 12:00:00+00:00,72404.0,72797.99,71245.17,71773.98,11394.24682,2024-04-08 15:59:59.999000+00:00,820255452.802709,518051,6178.09424,444775546.8598378
2024-04-08 16:00:00+00:00,71773.98,72104.05,71300.0,71766.0,5209.50842,2024-04-08 19:59:59.999000+00:00,373858715.9481133,227649,2765.20259,198466083.7194323
2024-04-08 20:00:00+00:00,71766.0,72000.0,71500.37,71620.0,3009.11482,2024-04-08 23:59:59.999000+00:00,215818227.2369401,147375,1465.34337,105096310.8502049
2024-04-09 00:00:00+00:00,71620.0,71758.19,70833.33,71285.0,4291.79016,2024-04-09 03:59:59.999000+00:00,306100042.5783653,216717,2130.04618,151931152.9727697
2024-04-09 04:00:00+00:00,71285.0,71339.79,70110.0,70383.99,6190.35905,2024-04-09 07:59:59.999000+00:00,438203908.5781179,299166,2790.52565,197551134.2153729
2024-04-09 08:00:00+00:00,70383.98,70905.26,69576.61,70794.85,6972.66696,2024-04-09 11:59:59.999000+00:00,490454918.2100384,296290,3297.35912,231981916.2172862
2024-04-09 12:00:00+00:00,70794.84,70977.0,68535.03,69264.0,12156.24815,2024-04-09 15:59:59.999000+00:00,847082718.6988653,530169,5740.60848,400123622.3444286
2024-04-09 16:00:00+00:00,69264.0,69320.0,68210.0,69000.77,6642.90689,2024-04-09 19:59:59.999000+00:00,456960868.0511099,306635,3379.20563,232503704.059359
2024-04-09 20:00:00+00:00,69000.78,69439.6,68888.47,69146.0,3039.93121,2024-04-09 23:59:59.999000+00:00,210204965.5256107,155180,1558.7925,107774055.4288358
2024-04-10 00:00:00+00:00,69146.0,69594.15,68466.63,69150.18,4540.58603,2024-04-10 03:59:59.999000+00:00,313194698.166448,263921,2232.78426,154025331.9504635
2024-04-10 04:00:00+00:00,69150.18,69515.0,69005.55,69336.28,2643.50253,2024-04-10 07:59:59.999000+00:00,183166054.6377647,138867,1266.06014,87720287.6680018
2024-04-10 08:00:00+00:00,69336.27,69336.28,68629.99,69043.0,4809.39998,2024-04-10 11:59:59.999000+00:00,331569783.1569065,252749,2201.82198,151785067.4243267
2024-04-10 12:00:00+00:00,69043.0,69204.28,67518.0,68657.32,13749.00779,2024-04-10 15:59:59.999000+00:00,938241292.6859717,538748,6305.97436,430402689.3043372
2024-04-10 16:00:00+00:00,68657.31,70098.89,68556.0,70083.99,9298.63372,2024-04-10 19:59:59.999000+00:00,645079117.5935462,395342,4560.45891,316357894.2213616
2024-04-10 20:00:00+00:00,70084.0,71172.08,69581.03,70631.08,6964.89372,2024-04-10 23:59:59.999000+00:00,490314024.5751671,262543,3702.24844,260731733.1633319
2024-04-11 00:00:00+00:00,70631.08,71062.0,70285.13,70851.67,4013.72496,2024-04-11 03:59:59.999000+00:00,283723313.3793999,208555,2117.15665,149663298.4904153
2024-04-11 04:00:00+00:00,70851.66,71305.89,70378.11,70735.99,3777.07402,2024-04-11 07:59:59.999000+00:00,267276891.0733592,206993,1708.57664,120926697.2646485
2024-04-11 08:00:00+00:00,70736.0,71256.27,69881.31,69983.16,5151.60119,2024-04-11 11:59:59.999000+00:00,363893491.3364371,271441,2529.46662,178714522.6149783
2024-04-11 12:00:00+00:00,69983.16,71100.0,69567.21,70000.0,11347.13026,2024-04-11 15:59:59.999000+00:00,797009539.9102846,540917,5979.50032,420028790.7833659
2024-04-11 16:00:00+00:00,70000.0,70529.73,69574.88,70459.67,4574.37082,2024-04-11 19:59:59.999000+00:00,320840748.1946941,254610,2271.11587,159297700.0400363
2024-04-11 20:00:00+00:00,70459.67,70746.09,69804.87,70006.23,3053.3547,2024-04-11 23:59:59.999000+00:00,214729290.722083,176479,1302.67514,91618981.5423083
2024-04-12 00:00:00+00:00,70006.22,70996.91,70002.22,70977.27,4545.17393,2024-04-12 03:59:59.999000+00:00,320965681.8448615,194973,2442.6646,172530911.6637984
2024-04-12 04:00:00+00:00,70977.27,71227.46,70566.02,70764.01,3687.50378,2024-04-12 07:59:59.999000+00:00,261380774.6678746,186949,1630.11676,115557270.1608578
2024-04-12 08:00:00+00:00,70764.0,70972.0,70509.58,70904.01,3928.05462,2024-04-12 11:59:59.999000+00:00,277911615.2642172,220121,1747.75354,123653878.946024
2024-04-12 12:00:00+00:00,70904.0,70975.54,69236.95,69347.3,10668.68172,2024-04-12 15:59:59.999000+00:00,744967842.5611264,519826,4570.11331,319105529.4327498
2024-04-12 16:00:00+00:00,69347.3,69580.0,65086.86,66843.98,26206.56931,2024-04-12 19:59:59.999000+00:00,1766566660.3684363,1056803,12139.05984,818610089.5686477
2024-04-12 20:00:00+00:00,66843.98,67440.0,66680.84,67116.52,7036.87893,2024-04-12 23:59:59.999000+00:00,471759010.6147586,317945,3406.15659,228350811.3983764
2024-04-13 00:00:00+00:00,67116.52,67168.0,65731.27,67160.55,7747.05556,2024-04-13 03:59:59.999000+00:00,515311798.4025196,463310,3541.07928,235489697.3593261
2024-04-13 04:00:00+00:00,67160.55,67929.0,67012.67,67446.52,5876.343,2024-04-13 07:59:59.999000+00:00,396643216.6145427,350298,2553.19889,172310161.0042078
2024-04-13 08:00:00+00:00,67446.53,67825.91,67090.83,67360.0,3376.15097,2024-04-13 11:59:59.999000+00:00,227473738.587931,218512,1498.83992,101004341.7710191
2024-04-13 12:00:00+00:00,67360.01,67926.0,67169.97,67676.0,3454.16666,2024-04-13 15:59:59.999000+00:00,233423293.1891063,266608,1553.73107,105007281.3556127
2024-04-13 16:00:00+00:00,67675.99,67752.85,63750.01,64788.01,12176.97124,2024-04-13 19:59:59.999000+00:00,805753576.3176591,624837,5201.62276,344658981.4704591
2024-04-13 20:00:00+00:00,64788.01,65608.09,60660.57,63924.51,38764.53276,2024-04-13 23:59:59.999000+00:00,2435863004.697286,1417775,18873.19758,1186375686.720293
2024-04-14 00:00:00+00:00,63924.52,64303.87,62134.0,63437.55,14435.88247,2024-04-14 03:59:59.999000+00:00,915225966.6953136,552935,6989.10784,443204742.8851889
2024-04-14 04:00:00+00:00,63437.55,64872.96,63394.0,64464.3,9667.37241,2024-04-14 07:59:59.999000+00:00,621503573.8770428,398773,4399.04849,282754504.0796831
2024-04-14 08:00:00+00:00,64464.3,64887.99,63855.45,64166.05,7342.92314,2024-04-14 11:59:59.999000+00:00,472395701.5207899,326426,3144.43382,202258175.5225464
2024-04-14 12:00:00+00:00,64166.05,64848.49,63437.55,64180.97,10578.65201,2024-04-14 15:59:59.999000+00:00,678224981.2707505,447121,5270.91049,337871479.6302721
2024-04-14 16:00:00+00:00,64180.98,64747.25,62573.66,64168.62,10439.26301,2024-04-14 19:59:59.999000+00:00,667047376.8583958,502559,5102.60098,326168587.4574619
2024-04-14 20:00:00+00:00,64168.62,65840.0,63326.42,65661.84,9135.08514,2024-04-14 23:59:59.999000+00:00,591727234.4747428,430139,4826.19472,312589522.9341562
2024-04-15 00:00:00+00:00,65661.85,65867.45,64937.01,65138.19,6221.13657,2024-04-15 03:59:59.999000+00:00,406753468.9545704,307882,2918.42525,190825786.1901383
2024-04-15 04:00:00+00:00,65138.2,66582.84,64683.01,66263.84,8889.70626,2024-04-15 07:59:59.999000+00:00,585745382.2749348,428974,4402.41107,290015764.0060287
2024-04-15 08:00:00+00:00,66263.84,66867.07,65807.25,65860.12,6595.64794,2024-04-15 11:59:59.999000+00:00,437923136.0938504,298570,2949.34202,195857114.6481302
2024-04-15 12:00:00+00:00,65860.12,66399.0,63810.0,64568.81,11897.77903,2024-04-15 15:59:59.999000+00:00,774518231.4447778,576717,5677.24377,369479107.3898693
2024-04-15 16:00:00+00:00,64568.8,64868.28,62274.4,63301.11,13199.26326,2024-04-15 19:59:59.999000+00:00,840164810.6043233,611619,6580.2336,419068940.8608968
2024-04-15 20:00:00+00:00,63301.11,63633.02,62632.0,63419.99,5585.99763,2024-04-15 23:59:59.999000+00:00,352967202.1887668,315286,2679.02437,169326263.8447494
2024-04-16 00:00:00+00:00,63419.99,63899.69,62750.0,62956.0,6780.05828,2024-04-16 03:59:59.999000+00:00,428620434.2013537,360278,3280.5261,207385713.2858756
2024-04-16 04:00:00+00:00,62956.0,63800.0,61680.0,63516.19,10893.71179,2024-04-16 07:59:59.999000+00:00,683387582.1426542,434631,5534.69478,347472648.3794156
2024-04-16 08:00:00+00:00,63516.18,63660.0,61600.0,63094.77,9560.71907,2024-04-16 11:59:59.999000+00:00,599279187.7177191,495564,4499.44665,282152244.4141255
2024-04-16 12:00:00+00:00,63094.76,63422.97,61735.42,61762.2,11375.72504,2024-04-16 15:59:59.999000+00:00,711480416.4807553,635113,5216.81381,326383860.3768576
2024-04-16 16:00:00+00:00,61762.19,63280.75,61694.02,62721.43,9939.37779,2024-04-16 19:59:59.999000+00:00,621859091.0833724,463065,5060.98233,316624522.194879
2024-04-16 20:00:00+00:00,62721.43,64365.0,62555.0,63793.39,4885.70134,2024-04-16 23:59:59.999000+00:00,310711486.8210586,215703,2448.80273,155664140.6564999
2024-04-17 00:00:00+00:00,63793.4,64295.0,63581.16,63842.02,4408.10123,2024-04-17 03:59:59.999000+00:00,281544353.8197533,217400,2258.20569,144243408.0127834
2024-04-17 04:00:00+00:00,63842.03,64499.0,63181.81,63297.84,4770.84819,2024-04-17 07:59:59.999000+00:00,304629910.5381467,301803,2454.14413,156719498.7804011
2024-04-17 08:00:00+00:00,63297.85,63587.88,62541.13,62595.04,4528.8573,2024-04-17 11:59:59.999000+00:00,285904609.6655445,251323,2193.89539,138511823.057423
2024-04-17 12:00:00+00:00,62595.04,62974.88,59888.0,60304.95,19701.56268,2024-04-17 15:59:59.999000+00:00,1208064624.7210164,862749,8786.45906,539140825.3772788
2024-04-17 16:00:00+00:00,60304.95,61956.42,59678.16,61022.35,13090.32351,2024-04-17 19:59:59.999000+00:00,796440442.6694036,581226,6508.811,396184598.5552697
2024-04-17 20:00:00+00:00,61022.36,61763.07,60777.0,61277.37,4110.85218,2024-04-17 23:59:59.999000+00:00,252041306.0599889,243826,2145.23144,131561105.9182023
2024-04-18 00:00:00+00:00,61277.38,62229.9,60939.92,61988.0,5112.05762,2024-04-18 03:59:59.999000+00:00,314862206.2717064,256918,2551.62376,157267062.6904888
2024-04-18 04:00:00+00:00,61987.99,62075.46,60803.35,61178.08,5389.61634,2024-04-18 07:59:59.999000+00:00,330723820.8588776,275925,2362.31989,144961280.047269
2024-04-18 08:00:00+00:00,61178.08,63072.27,60864.0,62597.92,8854.03421,2024-04-18 11:59:59.999000+00:00,549227118.4231036,372814,4745.03451,294318148.6828708
2024-04-18 12:00:00+00:00,62597.92,64117.09,61580.71,63498.7,13179.24657,2024-04-18 15:59:59.999000+00:00,831524340.4526678,609560,6342.1386,400273046.2259605
2024-04-18 16:00:00+00:00,63498.69,63866.19,62310.03,63477.04,7383.52292,2024-04-18 19:59:59.999000+00:00,466614596.2529554,408857,3398.06276,214817925.304891
2024-04-18 20:00:00+00:00,63477.04,63825.74,63162.77,63470.08,3683.13152,2024-04-18 23:59:59.999000+00:00,233789366.6274914,218437,1471.02753,93389704.9880281
2024-04-19 00:00:00+00:00,63470.09,63470.09,59600.01,61785.14,18924.46633,2024-04-19 03:59:59.999000+00:00,1158661421.1110003,665148,8933.9912,547170406.5017936
2024-04-19 04:00:00+00:00,61785.14,65179.0,61739.68,64547.18,16300.5042,2024-04-19 07:59:59.999000+00:00,1033938476.3976814,592522,8594.55888,545080823.6575683
2024-04-19 08:00:00+00:00,64547.18,65450.0,64098.13,64870.74,10760.55037,2024-04-19 11:59:59.999000+00:00,697131226.5162681,432711,5506.04858,356749170.8949694
